date,time,city,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2021-03-01,0,Houston,21,70,7,12,176,S,119,Cloudy,0.3,0.0,92,10,6,1013,30,69,22,72,20,68,21,70,11,18,21,70,1
2021-03-01,300,Houston,21,69,8,13,180,S,353,Light rain shower,0.8,0.0,95,10,6,1013,30,90,21,69,20,68,21,69,12,19,21,69,1
2021-03-01,600,Houston,20,69,5,8,239,WSW,353,Light rain shower,2.8,0.1,96,8,4,1014,30,100,20,69,20,68,20,69,8,13,20,69,5
2021-03-01,900,Houston,21,69,4,6,305,NW,356,Moderate or heavy rain shower,1.6,0.1,88,9,5,1016,30,100,21,69,19,65,21,69,5,8,21,69,5
2021-03-01,1200,Houston,21,70,7,11,325,NW,353,Light rain shower,1.0,0.0,80,10,6,1017,31,100,23,74,17,63,21,70,9,14,21,70,5
2021-03-01,1500,Houston,19,66,9,15,324,NW,353,Light rain shower,5.1,0.2,83,8,4,1017,31,100,20,68,16,61,19,66,15,23,19,66,4
2021-03-01,1800,Houston,18,64,10,17,341,NNW,356,Moderate or heavy rain shower,8.4,0.3,83,6,3,1018,31,100,18,64,15,58,18,64,18,29,18,64,1
2021-03-01,2100,Houston,16,61,12,19,341,NNW,308,Heavy rain,3.0,0.1,80,8,5,1020,31,100,16,61,13,55,16,61,17,27,16,61,1
2021-03-02,0,Houston,15,59,9,14,31,NNE,302,Moderate rain,5.5,0.2,83,7,4,1021,31,100,15,59,12,54,15,58,11,18,15,58,1
2021-03-02,300,Houston,15,58,7,12,246,WSW,302,Moderate rain,2.5,0.1,83,4,2,1020,31,100,15,58,12,53,14,57,9,15,14,57,1
2021-03-02,600,Houston,14,57,10,16,337,NNW,266,Light drizzle,0.8,0.0,82,7,4,1020,31,100,14,57,11,52,13,55,13,20,13,55,3
2021-03-02,900,Houston,14,56,12,19,334,NNW,296,Light rain,0.3,0.0,73,10,6,1021,31,53,14,56,9,48,12,54,14,23,12,54,3
2021-03-02,1200,Houston,16,60,13,21,337,NNW,116,Partly cloudy,0.0,0.0,58,10,6,1022,31,12,16,60,7,45,15,59,15,24,15,59,5
2021-03-02,1500,Houston,18,64,13,21,336,NNW,116,Partly cloudy,0.0,0.0,46,10,6,1020,31,1,18,64,6,43,18,64,15,24,18,64,5
2021-03-02,1800,Houston,16,62,12,19,348,NNW,113,Clear,0.0,0.0,46,10,6,1019,31,0,16,62,5,41,16,62,14,23,16,62,1
2021-03-02,2100,Houston,14,57,10,16,124,ESE,113,Clear,0.0,0.0,52,10,6,1021,31,0,14,57,4,40,13,55,13,21,13,55,1
2021-03-03,0,Houston,12,54,7,12,39,NE,116,Partly cloudy,0.0,0.0,65,10,6,1022,31,11,12,54,6,42,11,52,9,15,11,52,1
2021-03-03,300,Houston,11,52,6,10,42,NE,116,Partly cloudy,0.0,0.0,70,10,6,1022,31,13,11,52,6,42,10,50,8,12,10,50,1
2021-03-03,600,Houston,11,52,5,8,39,NE,116,Partly cloudy,0.0,0.0,73,10,6,1022,31,6,11,52,6,43,10,50,6,10,10,50,4
2021-03-03,900,Houston,12,53,4,7,50,NE,116,Partly cloudy,0.0,0.0,66,10,6,1023,31,3,12,53,6,42,11,53,5,8,11,53,4
2021-03-03,1200,Houston,16,61,4,6,63,ENE,116,Partly cloudy,0.0,0.0,44,10,6,1023,31,6,16,61,3,38,16,60,4,6,16,60,5
2021-03-03,1500,Houston,21,70,2,3,63,ENE,116,Partly cloudy,0.0,0.0,28,10,6,1021,31,4,21,70,2,35,21,70,2,4,21,70,6
2021-03-03,1800,Houston,21,69,2,3,113,ESE,116,Partly cloudy,0.0,0.0,28,10,6,1020,31,8,21,70,2,35,21,69,2,4,21,69,1
2021-03-03,2100,Houston,17,63,5,8,166,SSE,116,Partly cloudy,0.0,0.0,48,10,6,1021,31,17,20,68,5,40,17,63,6,10,17,63,1
2021-03-04,0,Houston,16,60,4,7,181,S,116,Partly cloudy,0.0,0.0,49,10,6,1023,31,1,16,60,5,41,15,60,5,8,15,60,1
2021-03-04,300,Houston,15,59,3,5,182,S,113,Clear,0.0,0.0,50,10,6,1022,31,2,15,59,5,40,15,59,3,5,15,59,1
2021-03-04,600,Houston,13,55,3,5,146,SSE,116,Partly cloudy,0.0,0.0,53,10,6,1022,31,5,13,55,4,39,13,55,5,8,13,55,4
2021-03-04,900,Houston,14,57,4,6,130,SE,116,Partly cloudy,0.0,0.0,53,10,6,1023,31,7,14,57,5,40,14,57,5,8,14,57,4
2021-03-04,1200,Houston,18,64,6,10,136,SE,116,Partly cloudy,0.0,0.0,43,10,6,1022,31,12,18,64,5,41,18,64,7,12,18,64,5
2021-03-04,1500,Houston,20,67,9,14,142,SE,116,Partly cloudy,0.0,0.0,41,10,6,1020,31,17,20,67,6,43,20,67,10,16,20,67,5
2021-03-04,1800,Houston,18,64,10,15,146,SSE,116,Partly cloudy,0.0,0.0,48,10,6,1018,31,22,18,64,6,44,18,64,12,20,18,64,1
2021-03-04,2100,Houston,16,60,8,13,146,SSE,116,Partly cloudy,0.0,0.0,61,10,6,1018,31,8,16,60,8,46,16,60,11,17,16,60,1
2021-03-05,0,Houston,15,59,8,13,142,SE,113,Clear,0.0,0.0,67,10,6,1017,31,0,15,59,9,47,14,58,11,18,14,58,1
2021-03-05,300,Houston,14,58,5,8,129,SE,113,Clear,0.0,0.0,75,10,6,1016,30,19,14,58,10,50,14,57,8,12,14,57,1
2021-03-05,600,Houston,14,57,4,7,133,SE,116,Partly cloudy,0.0,0.0,82,10,6,1015,30,46,14,57,11,51,14,57,7,12,14,57,4
2021-03-05,900,Houston,15,59,5,8,147,SSE,116,Partly cloudy,0.0,0.0,81,10,6,1016,30,80,15,59,12,53,15,59,8,13,15,59,5
2021-03-05,1200,Houston,17,63,4,7,174,S,122,Overcast,0.0,0.0,79,10,6,1015,30,85,17,63,14,57,17,63,6,9,17,63,4
2021-03-05,1500,Houston,21,70,5,8,242,WSW,119,Cloudy,0.1,0.0,67,10,6,1013,30,80,23,73,15,58,21,70,6,9,21,70,5
2021-03-05,1800,Houston,22,72,3,5,318,NW,353,Light rain shower,0.3,0.0,57,10,6,1013,30,68,25,76,13,56,22,72,4,7,25,76,1
2021-03-05,2100,Houston,21,69,3,4,134,SE,353,Light rain shower,0.2,0.0,63,10,6,1015,30,68,21,70,13,56,21,69,4,6,21,69,1
